,title,category,link,text
0,Как определять базу по НДС при аренде госимущества,uchetiottchetnost,https://www.buhgalteria.ru/article/kak-opredelyat-bazu-po-nds-pri-arende-gosimushchestva,"Если вы арендуете государственное или муниципальное имущество, вы как налоговый агент должны удержать из выплачиваемых денег НДС и перечислить его в бюджет. Сумму нужно определить расчетным методом. Перечисляют налог в обычном порядке, а суммы, которые можно принять к вычету, заявляют ежемесячно, независимо от того, в каком порядке перечисляется арендная плата (с авансом или нет). Готовимся к отчету за 2022 год. Налоговую базу по НДС при аренде госимущества определяют как сумму арендной платы с учетом налога отдельно по каждому объекту (п. 3 ст. 161 НК РФ). Момент возникновения налоговой базы - дата перечисления арендной платы полностью или частично (письмо Минфина от 23 июня 2016 г. № 03-07-11/36500). Если по договору арендная плата включает НДС, то сумму налога определяют расчетным методом: сумму арендной платы с учетом НДС умножают на 20/120 (п. 4 ст. 164 НК РФ). Если арендная плата не включает НДС, то сначала сумму арендной платы увеличивают на НДС по ставке 20%, а затем полученный результат умножают на 20/120 (п. 3 ст. 161, п. п. 3, 4 ст. 164 НК РФ). Арендную плату следует перечислить в размере, который предусмотрен договором, не удерживая из нее НДС. То есть налог перечисляют в бюджет за счет своих средств. Сумму НДС, подлежащую удержанию, рассчитывают по формуле: Сумма арендной платы (с учетом НДС) х 20% : 120% = Сумма НДС, подлежащая удержанию Налоговыми агентами будут и спецрежимники, включая плательщиков ПСН (п. 4 ст. 346.1, п. 5 ст. 346.11, п. 11 ст. 346.43 НК РФ). Книга, которая нужна каждому бухгалтеру Чтобы подготовка отчета не превратилась в тяжкое испытание на работоспособность заказывайте книгу «Годовой отчет 2022 под редакцией В.И. Мещерякова» Купить книгу Сумму НДС, удержанную из денег, перечисляемых арендодателю, налоговый агент при может принять к вычету. Это возможно при условии: Принять к вычету НДС арендаторы (покупатели) госимущества могут в том квартале, в котором он был перечислен в бюджет. Смотрите пример. Довольно часто арендатор государственного или муниципального имущества сдает его в субаренду. Обратите внимание: в этом случае обязанности налогового агента на субарендатора переложить нельзя – по НК РФ их должна выполнять та фирма, которая арендует имущество непосредственно у государства. А доходы от субаренды учитывают в обычном порядке. Смотрите пример ситуации. Иногда договор предусматривает, что арендатор должен перечислить арендную плату авансом сразу за несколько месяцев. В этом случае принять НДС к вычету можно только в той сумме, которая относится к арендной плате за прошедший налоговый период. Как это сделать на практике, расписано в примере. Больше деталей по теме - в бераторе Практическая энциклопедия бухгалтера НДС по операциям с имуществом казны платят по-другому"
1,Коэффициенты дефляторы на 2023 год,uchetiottchetnost,https://www.buhgalteria.ru/article/koeffitsienty-deflyatory-na-2023-god,"Минэкономразвития обнародовало коэффициенты-дефляторы на 2023 год. Они применяются для расчета торгового сбора, НДФЛ, лимита доходов при УСН и расчета налога на дополнительный доход от добычи углеводородного сырья (НДД). С помощью коэффициентов-дефляторов правительство ежегодно корректирует базовые расчетные показатели, не внося при этом очередные изменения в Налоговый кодекс. Коэффициенты-дефляторы на 2023 год выше тех размеров, которые были установлены на 2022 год. Это означает, что плательщики НДФЛ с патентов, торгового сбора и НДД будут платить в бюджет больше. А фирмы на УСН смогут наращивать обороты на больший лимит, не опасаясь потерять право на применение этого спецрежима. Налог, сбор Коэффициент 2022 год 2023 год НДФЛ 1,980 2,270 УСН 1,096 1,257 Торговый сбор 1,508 1,729 НДД 1,060 1,215 Режим Коэффициент 2022 год 2023 год УСН 1,096 1,257 Работающие в РФ иностранцы оплачивают патент ежемесячно фиксированными авансовыми платежами весь срок действия патента. Размер авансового платежа ежегодно индексируется на коэффициент-дефлятор на основании п. 3 ст. 227.1 НК РФ. Базовая сумма фиксированного платежа по НДФЛ с иностранных граждан, работающих по патенту, составляет 1200 руб. Коэффициент-дефлятор для НДФЛ в 2022 году составлял 1,980. На 2023 год установлен коэффициент в размере - 2,270. Сумма фиксированного платежа по НДФЛ с учетом коэффициентов составляет: В 2022 году: 1200 руб. * 1,980 = 2 3 76 руб. В 2023 году: 1200 руб. * 2,270 = 2 724 руб. Дополнительно к этому коэффициенту есть еще и региональный. Наш расчет сделан только по базовым общим показателям. Работа на УСН разрешена при строгом соблюдении лимитов по доходами за год, численности персонала и стоимость основных средств. Показатель по доходам ежегодно индексируется с помощью коэффициента-дефлятора. Чтобы проверить не выходит ли компания за рамки доходов, установленные для этого спецрежима, базовые лимиты из НК РФ нужно умножать на действующей коэффициент. Больше по теме: Лимиты по доходам для УСН на 2023 год Индексируются несколько показателей: Новые лимиты, определяющие право применять «упрощенку» в 2023 году проиндексированы на 1,257. Показатель 2022 год 2023 Предельный доход для применения УСН по обычным ставкам: 6% - «доходы» и 15 % - «доходы минус расходы» 150 млн рублей 188,55 млн рублей Предельный доход для применения УСН по повышенным ставкам: 8% - «доходы» и 28 % - «доходы минус расходы» 200 млн рублей 251,4 млн рублей, В 2023 году фирма теряет право на применение УСН, когда ее доход превысит 251,4 млн рублей (200 млн руб. × 1,257). Ежегодно с помощью коэффициента-дефлятор власти индексируют размер максимальной ставки, установленной для розничных рынков. В 2022 году коэффициент составлял 1,508. Базовое значение ставки сбора по п. 4 ст. 415 НК РФ — 550 руб. на 1 кв. м площади розничного рынка. Коэффициент-дефлятор для расчета торгового сбора на 2023 год равен 1,729. На коэффициент-дефлятор умножается дополнительный доход от добычи углеводородного сырья используется при расчете налоговой базы (п. 4 ст. 333.55 НК РФ). Коэффициент-дефлятор на 2023 год для НДД составляет 1,215."
2,Как ограничить доступ к своим отчетам в ГИРБО с 1 января 2023 года,uchetiottchetnost,https://www.buhgalteria.ru/article/kak-ogranichit-dostup-k-svoim-otchetam-v-girbo-s-1-yanvarya-2023-goda,"Доступ к финансовой и учредительной информации компании, которая собирается в ГИРБО может быть ограничен по решению самой компании либо по решению Правительства или ЦБ РФ в отношении определенных групп организаций, предприятий и отраслей. Доступ к информации, которая собирается в государственном информационном ресурсе бухгалтерской (финансовой) отчетности (ГИРБО) может быть закрыт: частично или полностью. Полный доступ к информации, содержащейся в ГИРБО, предоставляется органам власти, включая местное самоуправление, государственным внебюджетным фондам и Банку России. Они могут изучить как годовую бухгалтерскую отчетность, так и аудиторское заключение, если оно предусмотрено. Для этих структур информация всегда полностью открыта, даже если есть решения об ограничения доступа. Остальные заинтересованные лица могут получить информацию в составе бухбаланса, отчета о финансовых результатах, отчета об изменениях капитала, отчета о движении денежных средств и отчета о целевом использовании средств. Доступ к информации, содержащейся в ГИРБО, может быть закрыт по решению Правительства либо по инициативе самой компании. Статья 18 Закона «О бухгалтерском учете» позволяет Правительству РФ определить случаи, когда доступ к информации в ГИРБО должен быть ограничен. Воспользовавшись своим правом Правительство постановлением от 16.09.2022 № 1624 определило новые правила закрытия сведений в ГИРБО с 1 января 2023 года. По новым правилам, которые введены с 1 января 2023 года, доступ может быть ограничен по решению ЦБ или правительства, если организация включена: В последнем случае, организация, пострадавшая от санкций подает заявление на ограничение сведений о ней из ЕГРЮЛ, в том числе об учредителях, участниках, лицензиях, филиалах, представительствах. Ранее по теме: Кому разрешили скрывать данные бухгалтерской отчетности из-за санкций? Какие организации могут ограничивать доступ к своей отчетности в ГИРБО Чтобы ограничить доступ к информации о своей финансовой отчетности, руководителях и учредителях компании, нужно подать в ФНС заявление в электронном виде, по утвержденной ФНС форме. Обязательными реквизитами заявления являются Налоговая ограничит доступ к информации в течение 3 рабочих ней после полдачи заявления. Если организация решит возобновить доступ к информации о себе, действовать нужно также – электронно подать заявление в ФНС. Срок возобновления доступа такой же - 3 рабочих дня после получения заявления."
3,"Минфин напомнил, как подтвердить расходы первичкой",uchetiottchetnost,https://www.buhgalteria.ru/article/minfin-napomnil-kak-podtverdit-raskhody-pervichkoy,"Все расходы, принимаемые в уменьшение налогооблагаемой базы, должны быть документально подтверждены. Законодательство устанавливает ряд требований как к бумажным документам, так и к электронным. Минфин России в своем письме от 29.08.2022 г. № 03-03-06/1/84125 напомнил об обязательных реквизитах и требованиях. В Налоговом кодексе не определены документы, которые подтверждают затраты организации. Однако установлены определенные требования. Так, для подтверждения расходов могут использоваться документы, оформленные в соответствии с законодательством РФ, документы, оформленные в соответствии с обычаями делового оборота, применяемыми в иностранном государстве, на территории которого были произведены соответствующие расходы. Документ Письмо Министерства финансов РФ от 23.08.2022 №03-03-06/1/82037 Подойдут и бумаги, косвенно подтверждающие произведенные расходы, к примеру, таможенная декларация, приказ о командировке, проездные документы или отчет о выполненной в соответствии с договором работе. Данные налогового учета подтверждают первичкой, аналитическими регистрами и расчетом налоговой базы. Перечень обязательных реквизитов, которые должны быть в первичном учетном документе, установлен пунктом 2 статьи 9 Закона № 402-ФЗ. Среди них, в частности, наименование документа и дата его составления, наименование экономического субъекта, содержание факта хозяйственной жизни, величина натурального и (или) денежного измерения факта хозяйственной жизни с указанием единиц измерения, наименование должности лица (лиц), совершившего (совершивших) сделку, операцию и ответственного (ответственных) за правильность оформления свершившегося события, а также их подписи. Документ Письмо Министерства финансов РФ от 15.07.2022 № 03-03-06/1/68470 Первичка может быть бумажной или электронной, подписанной электронной подписью. Электронные документы, подписанные УКЭП, могут использоваться для подтверждения расходов в целях налогообложения прибыли. За отсутствие необходимого первичного документа инспекторы могут оштрафовать по статье 120 НК РФ. Это квалифицируется как грубое нарушение правил учета доходов, расходов и объектов налогообложения. Сумма штрафа составляет 10 000 рублей. Если же такие нарушения совершены неоднократно в разных налоговых периодах, она увеличивается до 30 000 рублей. Если тем самым занизили налоговую базу, то штраф составит 20% от суммы неуплаченного налога, но не менее 40 000 рублей. Может грозить и административная ответственность. Документ Письмо Министерства финансов РФ от 03.08.2022 № 03-03-06/1/75207 К примеру, за грубое нарушение правил ведения бухучета, представления отчетности, порядка и сроков хранения учетных документов руководителя или главбуха могут оштрафовать по части 2 статьи 15.11 КоАП РФ. Сумма штрафа в такой ситуации составляет от 5000 до 10 000 рублей. Полезная информация Как учитывать доходы в виде платы за бланки трудовых книжек?"
4,Как определять остаточную стоимость ОС при аренде,uchetiottchetnost,https://www.buhgalteria.ru/article/kak-opredelyat-ostatochnuyu-stoimost-os-pri-arende,"С 2022 года обязателен к применению ФСБУ 25/2018 «Учет аренды». Это повлекло изменения в определении остаточной стоимости арендной недвижимости в целях налога на имущество. Этот налог платит только фирма-арендодатель. Готовимся к отчету за 2022 год. ФСБУ 25/2018 «Бухгалтерский учет аренды» разрешает классифицировать объекты учета аренды в качестве объектов учета: Чтобы рассчитать остаточную стоимость предмета аренды при операционной аренде , используют формулу (она следует из письма Минфина от 22 декабря 2020 г. № 03-05-05-01/112530): Остаточная стоимость объекта операционной аренды = Первоначальная стоимость недвижимости - Сумма накопленной амортизации - Сумма обесценения + Стоимость последующих капитальных вложений, связанных с улучшением или восстановлением недвижимости Годовой отчет 2022 под редакцией В.И. Мещерякова Книга-бестселлер, которая вам нужна для подготовки и сдачи годовой отчетности. Сейчас выгодная цена. Доставка - бесплатно. Оформить заказ В случае финансовой (неоперационной) аренды арендодатель признает инвестицию в аренду в качестве актива на дату предоставления предмета аренды. Инвестицию в аренду признают в учете в размере ее чистой стоимости. Остаточная стоимость объекта недвижимости, учтенной в качестве инвестиции в аренду, при расчете среднегодовой стоимости должна определяться арендодателем в той оценке, как она отражена в регистре бухгалтерского учета на соответствующие даты. В течение срока действия договора неоперационной аренды (в том числе договора лизинга) чистую стоимость инвестиции в аренду, отраженную в бухгалтерском учете (п. 36 ФСБУ 25/2018): Таким образом, при финансовой аренде остаточная стоимость инвестиции в аренду на отчетную дату можно определить по формуле: Остаточная стоимость инвестиции в аренду = Чистая стоимость инвестиции в аренду (договорная цена) - Сумма фактически полученных арендных платежей + Сумма процентов по инвестиции в аренду Бератор нового поколения ПРАКТИЧЕСКАЯ ЭНЦИКЛОПЕДИЯ БУХГАЛТЕРА То, что нужно каждому бухгалтеру. Полный объем всегда актуальных правил учета и налогообложения. Подключить бератор"
5,Как рассчитывать базу для налога на имущество организаций в 2022,uchetiottchetnost,https://www.buhgalteria.ru/article/kak-rasschityvat-bazu-dlya-naloga-na-imushchestvo-organizatsiy-v-2022,"С 2022 года обязателен к применению ФСБУ 6/2020 «Основные средства». Это повлекло изменения в определении остаточной стоимости недвижимости, облагаемой налогом на имущество организаций по среднегодовой стоимости. Готовимся к отчету за 2022 год. ФСБУ 6/2020 не содержит правил расчета остаточной стоимости ОС. Он использует только понятие «балансовая стоимость». Балансовая стоимость - это разность между первоначальной стоимостью недвижимости и суммами накопленной амортизации и обесценения (п. 25 ФСБУ 6/2020). Зная балансовую стоимость недвижимости, можно рассчитать и ее остаточную стоимость для расчета налога на имущество организаций на отчетную дату. По правилам бухгалтерского учета в первоначальную стоимость объекта основного средства , приобретенного за деньги, включают все расходы фирмы, связанные с этой покупкой, за исключением НДС и других возмещаемых налогов. Все понесенные затраты вы должны учесть по дебету счета 08 «Вложения во внеоборотные активы». После того, как формирование первоначальной стоимости завершено, объект нужно со счета 08 перевести на счет 01 в состав основных средств . Обратите внимание: при определении налоговой базы по налогу на имущество не учитывается сумма ликвидационного оценочного обязательства , включенная в первоначальную стоимость основного средства (подп. «ж» п. 10 ФСБУ 26/2020, п. 12 ФСБУ 6/2020, п. 3 ст. 375 НК РФ). Это значит, что при исчислении налога на имущество по такому объекту из остаточной стоимости следует исключать величину оценочного обязательства. Например, оценочное обязательство может формироваться на сумму предстоящих расходов на ликвидацию объекта недвижимости, если такая ликвидация предусмотрена законодательством РФ. Если на сумму оценочного обязательства в составе стоимости объекта начислялась амортизация, то исключаемая из остаточной стоимости величина оценочного обязательства должна быть уменьшена на амортизацию, начисленную на сумму этого оценочного обязательства. Иначе произойдет занижение налоговой базы (Письмо Минфина от 10 июля 2020 № 03-05-05-01/59977). Для расчета налога по среднегодовой стоимости используется такая величина, как остаточная стоимость имущества (напомним, в бухучете применяется понятие «балансовая стоимость»). Формула такая (она следует из письма Минфина от 22 декабря 2020 г. № 03-05-05-01/112530): При подсчете суммы налога на имущество за налоговый период, продолжительность которого составляет 1 год, используется среднегодовая стоимость ОС (п. 1 ст. 379 НК РФ). Алгоритм расчета среднегодовой стоимости ОС представлен в абзаце 2 пункта 4 статьи 376 НК РФ. Книга, которая нужна каждому бухгалтеру Чтобы подготовка отчета не превратилась в тяжкое испытание на работоспособность заказывайте книгу «Годовой отчет 2022 под редакцией В.И. Мещерякова» Купить книгу Основной порядок перехода на ФСБУ 6/2020 – ретроспективный (п. 48 ФСБУ 6/2020). То есть, предполагается, что пересчитаны по новым правилам будут данные за предыдущие периоды таким образом, как будто стандарт применялся всегда. ФСБУ 6/2020 предусмотрен переход на новый стандарт перспективно (п. 49 ФСБУ 6/2020). Этот (альтернативный) переход подразумевает, что будут скорректированы только входящие данные по ОС на 1 января 2022 года, а далее учет будет вестись по требованиям нового стандарта. Этот способ менее трудоемкий, чем ретроспективный. Им, скорее всего, воспользовалось большинство. Минфин в письме от 14 декабря 2021 г. № 03-05-05-01/101626 отметил, что к обстоятельствам, при которых производится перерасчет налоговой базы по налогу на имущество организаций за прошлые периоды, относится исключительно обнаружение ошибок (искажений) в налоговой отчетности, в том числе в регистрах бухгалтерского учета. Отражение в учете и отчетности операций, связанных с изменением учетной политики при переходе на ФСБУ 6/2020, не является исправлением ошибок прошлых периодов. Значит, пересчет налога на имущество за прошлые налоговые периоды не требуется. Если переход на ФСБУ 6/2020 производится в соответствии с пунктом 49 (без ретроспективного пересчета), то все корректировки производятся единовременно на начало отчетного периода (конец периода, предшествующего отчетному), то есть в межотчетный период – 1 января 2022 года. ПРАКТИЧЕСКАЯ ЭНЦИКЛОПЕДИЯ БУХГАЛТЕРА Полная информация о правилах учета и налогах для бухгалтера. Только конкретный алгоритм действий, примеры из практики и советы экспертов. Ничего лишнего. Всегда актуальная информация. Подключить бератор"
6,Региональные праздники не учитываются для переноса срока сдачи отчетности,uchetiottchetnost,https://www.buhgalteria.ru/article/regionalnye-prazdniki-ne-uchityvayutsya-dlya-perenosa-sroka-sdachi-otchetnosti,"Если праздничный или выходной день объявлен региональными властями, он не влияет на сроки сдачи отчетности и уплаты налогов. Последний день, установленный законодательством для сдачи отчетности или уплаты налога, переносятся на следующий за ним рабочий день только в том случае, если он выпадает на выходной, установленный на уровне федерального законодательства. Из-за региональных праздников сроки сдачи отчетности или уплаты налогов на ближайший рабочий день не переносятся. О том, что объявленные региональными властями праздники не влияют на сроки сдачи отчетности Минфин РФ сообщил в письме от 2 июня 2022 г. № 03-02-07/51877. Правила переноса сроков уплаты налогов и сдачи отчетности, в том случае, если последний день, когда нужно рассчитаться с бюджетом или отчитаться попадает на выходной или праздничный день, установлены пунктом 7 статьи 6.1 НК РФ: «если последний день сдачи отчетности приходится выходной, нерабочий праздничный и (или) нерабочий, срок сдачи отчетности переносится на ближайший рабочий день.» Праздничными, нерабочими и выходными днями считаются только те дни, которые установлены законодательством РФ или указом Президента РФ. Выходные и нерабочие праздничные дни определены в статьях 111 и 112 Трудового кодекса РФ. Остальные праздники, введенные региональными или местными властями, считаются событиями не федерального масштаба и не влияют на исполнение обязательств, предусмотренных НК РФ. Ранее по этой же теме: Не все праздничные и выходные дни влияют на сроки сдачи отчетности и уплаты налогов Нерабочие и праздничные дни в РФ, которые учитываются при переносе сроку уплаты налогов и отчетности (кроме отдельно объявляемых Указами Президента) Пунктом 7 статьи 6.1 Налогового кодекса Российской Федерации установлено, что в случаях, когда последний день срока приходится на день, признаваемый в соответствии с законодательством Российской Федерации или актом Президента Российской Федерации выходным, нерабочим праздничным и (или) нерабочим днем, днем окончания срока считается ближайший следующий за ним рабочий день. При этом рабочим днем считается день, который не признается в соответствии с законодательством Российской Федерации или актом Президента Российской Федерации выходным, нерабочим праздничным и (или) нерабочим днем (пункт 6 статьи 6.1 Налогового кодекса Российской Федерации). Налоговым кодексом Российской Федерации не предусмотрен перенос определенного законодательством о налогах и сборах срока, если последний день этого срока приходится на нерабочий праздничный день, установленный уполномоченным органом государственной власти субъекта Российской Федерации. Выходные и нерабочие праздничные дни определены соответствующими ст. 111 и 112 Трудового кодекса Российской Федерации. При этом Кодексом Российской Федерации не определены полномочия Российской Федерации по установлению нерабочих праздничных дней на территориях субъектов Российской Федерации."
7,Как арендатору рассчитать и учесть проценты на обязательство по аренде ,uchetiottchetnost,https://www.buhgalteria.ru/article/kak-arendatoru-uchest-protsenty-na-obyazatelstvo-po-arende-,"В состав процентов, подлежащим уплате, с 2022 года арендаторы включают проценты, начисленные по арендным платежам. При подготовке отчета за 2022 год нужно учесть ряд существенных новшеств. Арендатор на дату предоставления предмета аренды одновременно признает в бухучете два объекта: обязательство и актив (п. 10 ФСБУ 25/2018). Актив - стоимостная оценка права пользования активом - предметом аренды (ППА). После принятия к учету его стоимость погашается путем начисления амортизации. Обязательство – это стоимостная оценка обязательства по аренде. После принятия к учету величина обязательства по аренде увеличивается на начисляемые проценты и уменьшаются на уплаченные арендные платежи. При отражении в бухучете обязательства по аренде нужно сделать проводки: Дебет 08 Кредит 76 - отражено арендное обязательство по первоначальной оценке; Дебет 91 Кредит 76 Дебет 91 Кредит 76 - списаны проценты по арендному платежу. Величина обязательства по аренде – это кредиторская задолженность арендатора по уплате арендных платежей в будущем. Она определяется в порядке, установленном пунктом 14 ФСБУ 25/2018. Обязательство по аренде оценивается как сумма приведенной стоимости будущих арендных платежей на дату получения предмета аренды (лизинга). Теоретически дисконтирование осуществляется с применением ставки, при использовании которой приведенная стоимость будущих арендных платежей и негарантированной ликвидационной стоимости предмета аренды становится равной справедливой стоимости переданного объекта. Негарантированная ликвидационная стоимость — это предполагаемая справедливая стоимость предмета аренды, которую он будет иметь к концу срока аренды, за вычетом сумм, подлежащих получению в связи с гарантиями выкупа по окончании срока аренды (п. 15 ФСБУ 25/2018). Читайте в бераторе «Практическая энциклопедия бухгалтера» также Как арендатору оценить величину ППА На практике для расчета приведенной стоимости обязательства применяют ставку, по которой арендатор мог бы привлечь заемные средства на срок, сопоставимый с периодом аренды. Как правило, расчет приведенной стоимости будущих арендных платежей и их суммы осуществляется с помощью функций Exel. Закажите книгу, которая поможет вам сдать годовой отчет за 2022 год С книгой вы проверите структуру своих доходов и расходов. Уточните, как заполнить каждую строчку каждой формы. Выявите связь между учетом конкретно операции и ее местом в строке баланса. Заранее подправите свой учет до формирования отчетных форм и налоговых деклараций. Купить книгу Рассмотрим особенности нового учета у арендатора на примере. Предположим, фирма не имеет права на упрощенный учет аренды. Во временном пользовании компания имеет помещение склада (используется в производственной деятельности). По условиям договора арендная плата в месяц составляет 120 000 руб. (в том числе НДС — 20 000 руб.). Срок аренды - 2 года. Номинальная стоимость арендного обязательства составляет 100 000 руб. х 24 мес. = 2 400 000 руб. Теперь определим приведенную стоимость платежей. Для этой цели используем процентную ставку, по которой компания может получить заемные средства на сопоставимых условиях. Предположим, что такая ставка составляет 15% годовых. Для дисконтирования арендных платежей с периодичностью менее года (месячных, квартальных) определяется месячная или квартальная ставка дисконтирования по формуле: Ставка дисконтирования = ((1 + R/100)1/4 или 1/12 - 1) х 100%, где R – годовая процентная ставка под заемные средства. В нашем случае в результате расчета получилась месячная ставка дисконтирования = ((1 + 0,15)0,0833 – 1) х 100% = 1,17% (показатель степени 0,0833 получился путем деления 1 на 12). Далее эта ставка используется для определения приведенной стоимости каждого будущего арендного платежа. Платежи дисконтируются по формуле: Приведенный платеж = Номинальная стоимость платежа/(1 + Ставка дисконтирования)t, где t - количество периодов (месяцев или кварталов) до момента осуществления платежа. После этого находят приведенную стоимость обязательства по аренде, суммируя все приведенные платежи. Смотрите таблицу в примере из бератора На основании расчета первоначальная оценка обязательства по аренде составляет 2 081 955 руб. Бухгалтер сделал проводку: Дебет 08 Кредит 76 - 2 081 955 руб. отражено арендное обязательство (первоначальная оценка обязательства по аренде). Начиная с первого месяца нужно начинать списывать проценты. Проводка будет такая: Дебет 91 Кредит 76 - 1156 руб.- списаны проценты за первый месяц аренды. Таким образом, арендное обязательство будет ежемесячно уменьшаться. Всего за срок аренды будет начислена сумма процентов в размере 318 045 руб. В отчете о финансовых результатах проценты или дисконт показываются по строке 2330 «Проценты к уплате» ."
