,title,link,text
0,Министр экономики Японии заявил о важности проекта «Сахалин-1»,https://www.rbc.ru/rbcfreenews/634236e29a7947cbfb326f1c,"Япония по-прежнему считает важным проект нефтепровода «Сахалин-1» с точки зрения стабильных поставок нефти. Об этом в эфире телеканала NHK заявил глава министерства экономики, торговли и промышленности страны Ясутоси Нисимура. «Япония зависит на 90% от поставок нефти из стран Ближнего Востока, однако проект «Сахалин-1» является важным с точки зрения диверсификации каналов импорта и обеспечения стабильных поставок», — сказал он (цит. по «РИА Новости»). Министр также рассказал, что «в настоящее время объемы импорта нефти с проекта «Сахалин-1» на нуле». Накануне президент России Владимир Путин подписал указ о создании нового оператора проекта «Сахалин-1» и исключении из него компании «Эксон Нефтегаз Лимитед», «дочки» американского нефтегазового гиганта ExxonMobil. Новым управляющим оператором «Сахалина-1» станет «дочка» «Роснефти» — «Сахалинморнефтегаз-Шельф». Иностранные участники «Сахалина-1» должны в течение месяца согласиться или отказаться от перерегистрации доли в проекте на нового оператора. Указ президента стал ответом на мартовское решение ExxonMobil о выходе из проекта в связи с началом специальной военной операции на Украине. В апреле компания заморозила проект «Дальневосточный СПГ» в Хабаровском крае. ExxonMobil принадлежит 30% «Сахалина-1». Помимо нее в проекте участвует «Роснефть» через свои родственные организации «РН-Астра» (8,5%) и «Сахалинморнефтегаз-Шельф» (11,5%). Кроме того, в него инвестировали японский консорциум Sodeco (30%) и индийская государственная нефтяная компания «ОНГК Видеш Лтд» (20%). Проект «Сахалин-1» реализуется в рамках соглашения о разделе продукции с 1996 года. Он включает три месторождения на Сахалине (Чайво, Одопту и Аркутун-Даги) с потенциальными извлекаемыми запасами 307 млн т нефти и 485 млрд куб. м газа. В конце сентября 2021 года оператор Exxon Neftegas Limited сообщал, что планирует инвестировать в «Сахалин-1» $5 млрд в течение пяти лет."
1,В Белоруссии возбудили первое уголовное дело из-за завышения цен,https://www.rbc.ru/rbcfreenews/6341f6519a7947be6040448a,"В Белоруссии возбудили первое уголовное дело по факту завышения цен на продовольственные товары. Об этом сообщила заведующая сектором контроля за ценами на потребительские товары Комитета государственного контроля (КГК) Татьяна Самохина в эфире телеканала «Беларусь-1». «По материалам КГК установлены факты перепродажи частными предприятиями отечественной сельхозпродукции организациям бюджетных сфер по завышенным ценам. В отношении директора предприятия возбуждено уголовное дело по ч. 2 ст. 426 УК Республики Беларусь («Превышение власти или служебных полномочий»). Государству причинен вред в крупном размере — более 10 тыс. белорусских рублей [около $4 тыс.]», — сказала она. Речь идет о предприятии из Бобруйска (Могилевская область). По данным КГК, с января по август предприятие поставляло сельскохозяйственную продукцию в учреждения образования и здравоохранения с оптовой наценкой по отдельным позициям до 600%. Также сообщается о похожем инциденте в Лиде (Гродненская область). Выяснилось, что один из магазинов повысил цены на колбасные изделия после того, как в стране был введен мораторий. В настоящее время проводятся проверочные мероприятия, по результатам которых будет дана правовая оценка. 6 октября в Белоруссии по распоряжение президента Александра Лукашенко был запрещен рост цен. По словам президента, он был вынужден принять такое решение потому что «цены сегодня запредельные». Инфляция в Белоруссии начала резко расти с марта. Так, если в прошлом декабре она была в районе 9%, то уже к июлю превысила 17%, следует из данных нацбанка страны. В то же время ВВП Белоруссии в январе—июле снизился на 5,2%, приводит Белстат. Ранее правительство прогнозировало рост экономики по итогам текущего года на 2,9%, по инерционному плану — на 1%. В то время как в западных странах высокий уровень инфляции в основном обусловлен ростом цен на энергоносители, в Белоруссии это во многом связано с нарушением логистических цепочек вследствие санкций ЕС. Брюссель начал вводить ограничения против Минска после выборов президента Белоруссии в 2020 году, на которых победу вновь одержал Лукашенко. Санкционное давление усилилось после начала Россией спецоперации на Украине 24 февраля."
2,Египетские отельеры выступили за скорейшее введение карт «Мир»,https://www.rbc.ru/rbcfreenews/6341e3129a7947be60404485,"Египетские предприниматели и отельеры обратились в Центробанк Египта с просьбой ускорить процедуру принятия рубля в качестве торговой валюты, а также внедрения в стране платежной системы «Мир». Об этом пишет газета Al-Shorouk со ссылкой на источники в местной туриндустрии. «Платежная система «Мир» и операции с российским рублем в египетских банках на туристических курортах могут быть задействованы в ближайшие дни», — утверждают источники газеты. Ранее они обратились в ЦБ с требованием ускорить процедуру внедрения российской платежной системы. Также источники опровергли сообщения о том, что задержка с внедрением связана со вторичными санкциями, которыми США пригрозили странам, которые будут использовать «Мир». Ранее из-за такой угрозы карты «Мир» прекратили использовать ряд банков Турции, Казахстана и Таджикистана. О переговорах России и Египта по внедрению платежной системы «Мир» стало известно в августе. Тогда же российский МИД сообщил, что Россия ведет такие же переговоры с Китаем и Азербайджаном. Также на разной стадии находятся переговоры с Бахрейном, Индией, Кубой, Мьянмой, Нигерией, Таиландом и другими государствами. Национальная система платежных карт — оператор карт российской системы «Мир» — была создана в 2014 году, после введения западных санкций на фоне присоединения Крыма. Банк России внедрял систему на случай отключения карт международных платежных систем. К 2022 году карты «Мир» принимали девять стран."
3,ФАС не увидела ажиотажа и роста цен на топливо в Крыму,https://www.rbc.ru/rbcfreenews/6341dc549a7947baf29c1c48,"Федеральная антимонопольная служба (ФАС) не выявила роста цен на нефтепродукты в Крыму, ажиотажный спрос во второй половине дня не наблюдался. Об этом сообщает ТАСС со ссылкой на пресс-службе ведомства. ФАС совместно с органами прокуратуры в субботу провела оперативные совещания по оценке ситуации со снабжением нефтепродуктами потребителей полуострова. По итогам совещаний в ведомстве сообщили, что роста цен не выявлено, ажиотажный спрос после обеда не наблюдался, запасов нефтепродуктов достаточно для удовлетворения спроса Также территориальному органу в Крыму и Севастополе было поручено усилить контроль за ценами на нефтепродукты. Спрос на энергоресурсы в Крыму поднялся после диверсии на Крымском мосту, в результате которого возникла проблема сообщения с материковой частью России. Позже власти заверили, что в регионах нет дефицита с продовольствием и топливом. Об отсутствии дефицита энергоресурсов на полуострове ранее сообщило министерство энергетики. Прокурорам поручено установить контроль за уровнем цен."
4,"Минэнерго заверило, что в Крыму нет риска дефицита энергоресурсов",https://www.rbc.ru/rbcfreenews/634186199a7947abedec0b42,"В Крыму, Запорожской и Херсонской областях нет риска дефицита энергоресурсов, ситуация с ними стабильная, заявили в Минэнерго. «Минэнерго России держит на контроле стабильное обеспечение энергоресурсами потребителей в Республике Крым, Херсонской и Запорожской областях. <...> Запасы топлива в регионах находятся на достаточном уровне для удовлетворения спроса, рисков дефицита нет», — говорится в сообщении ведомства. Минпромторг в свою очередь заверил, что в Крыму и Севастополе нет нехватки товаров. В ведомстве заявили, что не видят необходимости вводить какие-либо ограничения на розничную продажу в регионах. Запорожская и Херсонская области вместе с ДНР и ЛНР вошли в состав России по итогам референдумов, прошедших в конце сентября. Украина и ряд других стран отказались признать результаты голосований. Киев считает эти территории оккупированными. Из-за повреждения Крымского моста, который соединяет Керченский и Таманский полуострова, утром 8 октября в Крыму и Севастополе возникла проблема с сообщением с материковой частью России. В связи с этим власти регионов объявляли об ограничениях на продажу бакалейной продукции до 3 кг в одни руки. Однако в Севастополе спустя час это решение отменили, а в Крыму пояснили, что эта мера действует в регионе еще со времен пандемии коронавируса. Власти заверили, что в регионах нет дефицита с продовольствием и топливом. Прокурорам поручено установить контроль за уровнем цен."
5,Генпрокурор поручил контролировать цены на продукты и бензин в Крыму,https://www.rbc.ru/rbcfreenews/63417e0d9a7947a9eeae89da,"Генеральный прокурор России Игорь Краснов поручил прокурорам Крыма и Севастополя установить контроль за ценами в регионах, чтобы не допустить их роста на фоне перебоев с сообщением из-за повреждения Крымского моста. «Органами прокуратуры взята на особый контроль ситуация с доступностью для населения автомобильного топлива, продуктов питания и товаров первой необходимости. Операторы топливного рынка и представители крупных торговых сетей на полуострове располагают необходимыми запасами этих товаров», — заверяют в Генпрокуратуре. Утром 8 октября на Крымском мосту, который соединяет Керченский полуостров с Таманским, подорвался грузовик, из-за чего загорелись семь топливных цистерн в хвосте следовавшего в Крым состава. По данным СК, погибли три человека. Частично обрушились два автомобильных пролета моста. Глава Крыма Сергей Аксенов говорил, что уцелела «одна автомобильная нитка из Керчи на Тамань». Автомобильное и железнодорожное движение по мосту было приостановлено. В 16:00 мск по одному из менее поврежденных участков дороги открыли движение для легковых машин и автобусов. В 20:00 планируется открыть один из путей для поездов. РЖД временно прекратили продажу билетов на поезда, следующие в Крым и обратно. Отменены также автобусные рейсы с полуострова. Будет организовано паромное сообщение. На фоне этого в Крыму и Севастополе объявляли об ограничениях на продажу бакалейной продукции до 3 кг в одни руки. Однако в Севастополе спустя час это решение отменили, а в Крыму пояснили, что эта мера действует в регионе еще со времен пандемии коронавируса. Власти заверяли, что в регионах нет дефицита с продовольствием и топливом. Разбираемся в рассылке"
6,"Министр заявил, что запустить паромы в Крым в субботу не позволит погода",https://www.rbc.ru/economics/08/10/2022/634140be9a79479c4c7a4188,"Запустить паромы в Крым в субботу не получится из-за погодных условий. Об этом заявил и.о. министра транспорта региона Николай Лукашенко. «Погода сегодня не позволяет вообще ничего», — заявил он. По словам Лукашенко, сейчас паромы подготавливают к «организации стабильной работы» (цитата по «Интерфаксу»). «В настоящее время у нас два парома имеются уже в наличии на территории порта Крым, которые сейчас проходят техническое освидетельствование и готовятся к запуску, — там уже завезли топливо и все остальное. Еще идет большой автомобильный паром, который будет ходить, скорее всего, с рыбного порта, — к вечеру сюда придет, погода сегодня не позволяет вообще ничего», — уточнил глава минтранса. В Крыму до 21:00 завтрашнего дня действует предупреждение о сильном ветре. По данным Гидрометцентра, в регионе ожидается северо-восточный ветер, местами с порывами до 17 м/с. Позднее советник главы Крыма Олег Крючков опубликовал с своем телеграм-канале запись заявления Лукашенко, в котором тот говорит, что погодные условия все же позволяют запустить паромное сообщение. «Организовать движение средних судов, конечно же, возможно, и в настоящее время организовываются мероприятия, связанные с тестированием паромов, чтобы организовать регулярное паромное сообщение сегодня», — сказал и.о. министра. Паромную переправу крымские власти решили организовать после повреждения Крымского моста в результате пожара, который произошел утром 8 октября. Причиной назвали подрыв грузовика, из-за чего загорелись семь топливных цистерн в хвосте следовавшего в Крым состава. В крымском парламенте обвинили в произошедшем «украинских вандалов». В результате ЧП никто не пострадал. СК возбудил уголовное дело, не уточнив, по какой статье. Два автомобильных пролета моста частично обрушились. Глава Крыма Сергей Аксенов говорил, что уцелела «одна автомобильная нитка из Керчи на Тамань». Автомобильное и железнодорожное движение по мосту приостановлено. РЖД временно прекратили продажу билетов на поезда, следующие в Крым и обратно. Отменены также автобусные рейсы с полуострова."
7,Севастополь вслед за Крымом ввел ограничение на продажу бакалеи,https://www.rbc.ru/economics/08/10/2022/634135339a794798e76ecd97,"В Севастополе ограничили отпуск бакалейной продукции до 3 кг или пачек в одни руки, чтобы избежать ажиотажа на фоне проблем с сообщением с материковой частью России в связи с повреждением Крымского моста, сообщил в телеграм-канале глава региона Михаил Развожаев. Ранее об аналогичном решении сообщил крымский минпром. Но вскоре ведомство удалило сообщение, пояснив, что эта мера действует в регионе со времен пандемии, а новых ограничений не вводилось. По словам Развожаева, в Севастополе достаточный запас продукции: в частности, сахара хватит на 23 дня, муки — на 27, макарон — на 29 дней, подсолнечного масла — на 46, а мясных консервов — на 106 дней. «Поступают сигналы, что люди на заправках пытаются покупать бензин под запас канистрами. Чтобы не провоцировать искусственный ажиотаж, бензин в канистры отпускаться не будет», — уточнил глава региона, добавив, что запасов топлива в Севастополе хватит на 40 суток. Развожаев также заверил, что Севастополь не отрезан от материковой части страны, напомнив, что есть сухопутные коридоры через новые территории и будет работать паромная переправа в районе Крымского моста. Крым граничит с Херсонской областью, которая по итогам референдума в конце сентября наряду с Запорожской областью, ДНР и ЛНР вошла в состав России. Утром 8 октября на Крымском мосту, который соединяет Керченский полуостров с Таманским, произошел пожар. Причиной возгорания назвали подрыв грузовика, из-за чего загорелись семь топливных цистерн в хвосте следовавшего в Крым состава. В крымском парламенте обвинили в произошедшем «украинских вандалов». В результате ЧП никто не пострадал. СК возбудил уголовное дело (по какой статье, пока не называлось). Два автомобильных пролета моста частично обрушились. Глава Крыма Сергей Аксенов говорил, что уцелела «одна автомобильная нитка из Керчи на Тамань». Автомобильное и железнодорожное движение по мосту приостановлено. РЖД временно прекратили продажу билетов на поезда, следующие в Крым и обратно. Отменены также автобусные рейсы с полуострова. Власти решили запустить паромную переправу."
8,Фурам из ЕС разрешили перевозить грузы в Белоруссии,https://www.rbc.ru/economics/07/10/2022/634055969a7947685a82bc29,"Белорусские власти разрешили с 10 октября автомобильным транспортным компаниям из стран Евросоюза осуществлять международные перевозки по территории страны. Об этом говорится в сообщении, опубликованном на сайте Минтранса Белоруссии. «Министерство транспорта и коммуникаций Республики Беларусь информирует, что с 10 октября 2022 года для автомобильного перевозчика, зарегистрированного в государствах — членах Европейского союза, предоставляется возможность оформления в Транспортной инспекции разрешения на международную перевозку грузов автомобильным транспортом по территории Республики Беларусь», — говорится в сообщении. Соответствующее разрешение можно оформить в одном из структурных подразделений филиалов Транспортной инспекции в Минске и областных городах, уточнили в министерстве. Запрет зарегистрированным в Евросоюзе грузовым автомобилям пересекать границу Белоруссии был введен с 16 апреля 2022 года. «С 00:00 часов 16 апреля 2022 года вводится запрет на перемещение через таможенную границу Евразийского экономического союза в Белоруссию автомобилей (и тягачей), зарегистрированных в Европейском союзе», — сообщил тогда Минтранс. С 8 апреля страны Евросоюза перестали пропускать автотранспорт, зарегистрированный в России и Белоруссии, в качестве ограничения, входящего в пятый пакет санкций ЕС. Запрет касался автомобильных грузоперевозок по территории ЕС, в том числе транзитных. Транзит в Калининградскую область для транспорта, зарегистрированного в России, сохранился. Президент Владимир Путин 29 сентября своим указом предоставил правительству право вводить запрет на международные автомобильные перевозки грузов по территории России транспортом, принадлежащим перевозчикам из недружественных стран. В указе говорилось, что запрет может применяться к транспорту, «зарегистрированному в иностранных государствах, которые ввели в отношении граждан Российской Федерации и российских юридических лиц ограничительные меры в сфере международных автомобильных перевозок грузов». В случае установления такого запрета правительство должно определить срок его действия, список государств, которые ввели аналогичные ограничения в отношении России, виды перевозок, которых коснутся ограничения, а также условия, при соблюдении которых этот запрет не применяется."
9,Цены в России выросли впервые за четыре месяца,https://www.rbc.ru/economics/07/10/2022/63402b699a794759aa271b77,"Росстат впервые после весны зафиксировал в России инфляцию в месячном выражении. В сентябре 2022 года потребительские цены выросли на 0,05% по сравнению с августом. Все лето наблюдалась дефляция: цены снижались на 0,4–0,5% в месяц. Снижение цен в течение трех месяцев подряд было зафиксировано всего второй раз в российской истории (первый раз — в 2011 году). Нынешний дефляционный период стал компенсаторной реакцией на мартовский скачок цен на фоне резкого обесценения рубля, которое быстро сменилось его сильным укреплением. В недельном выражении цены в стране повышаются две недели подряд, в том числе с 27 сентября по 3 октября инфляция составила 0,07%. В годовом выражении цены оказались на 13,7% выше, чем в сентябре прошлого года (в августе 2022 года к августу 2021-го было 14,3%). По данным Росстата, в сентябре к предыдущему месяцу подорожали продукты питания (без овощей и фруктов) — на 0,03%, а также непродовольственные товары (на 0,15%) и услуги (на 0,51%). В августе все эти категории дешевели по сравнению с июлем. Базовая инфляция (с исключением «краткосрочных неравномерных изменений цен» — на плодоовощную продукцию, ряд алкогольных напитков, топлива и регулируемых тарифов) за сентябрь оценена Росстатом в 0,3% (в августе было нулевое изменение). Овощи и фрукты в сентябре продолжили дешеветь: средняя стоимость лука снизилась на 27,5% к августу, моркови — на 18%, картофеля — на 15,4%, винограда — на 14,6%, капусты — на 11,9% и т.д. Однако огурцы (занимают более весомую позицию в потребительской корзине, чем другие овощи, — 0,56%) подорожали на 31,6%, апельсины — на 6,5%, бананы — на 5,4%. Средняя цена килограмма огурцов в России в августе составляла около 67 руб., то есть в сентябре их цена могла подскочить до 85–87 руб. (столько же они стоили в первой половине лета), следует из данных Росстата. Среди непродовольственных товаров заметно выросли цены на газовое моторное топливо (плюс 4,3% к августу, в предыдущем месяце было плюс 1,2%), ноутбуки, моноблоки, мониторы для настольного компьютера, электропылесосы, холодильники подорожали более чем на 1,1%. Среди услуг зарубежного туризма более всего увеличились цены на поездки на отдых в ОАЭ и Египет — на 26,5 и 25,1% соответственно, отдельные страны Юго-Восточной и Южной Азии — на 17,7 и 12,5%. В то же время снизились цены на поездки на отдых в Турцию — на 8% и страны Закавказья — на 5,6%, сообщает Росстат. Аналитики ждут, что темпы инфляции будут ускоряться к концу года. Минэкономразвития прогнозирует, что инфляция в декабре 2022 года к декабрю прошлого года составит 12,4%. Вклад частичной мобилизации, объявленной 21 сентября, может быть дезинфляционным, поскольку это решение может сократить потребительский спрос. Так, экономисты «Ренессанс Капитала» писали в конце сентября, что начало частичной мобилизации окажет сдерживающее влияние на потребительский спрос при усилении сберегательного поведения."
