,title,href,text
0,В ВГА сообщили об ударе «Геранями» по казарме бригады ВСУ в Запорожье,https://www.rbc.ru/rbcfreenews/63420a9b9a7947c4a87864f8,"Удар нанесен по казарме 55-й артиллерийской бригады ВСУ в городе Запорожье, сообщил член главного совета военно-гражданской администрации (ВГА) Запорожской области Владимир Рогов в своем телеграм-канале. «Букеты «Герани» расцвели в казарме карателей 55-й артиллерийской бригады боевиков Зеленского. Количество террористов, отправившихся экспрессом к Бандере, уточняется», — написал он. Ранее Рогов сообщил, что в административном центре Запорожской области, контролируемом Киевом, были слышны взрывы, сработала ПВО. В нескольких районах города был виден дым. По его утверждению, удары наносятся «по военным объектам и объектам гражданской инфраструктуры» в Запорожье, которые украинские военные и иностранные наемники используют «в качестве военных баз и мест хранения оружия с боеприпасами». Материал дополняется"
1,В Эстонии заявили о трудностях при согласовании антироссийских санкций,https://www.rbc.ru/rbcfreenews/634200239a7947be284684f8,"Странам Европы становится все труднее выдерживать единую позицию в вопросе об антироссийских санкциях. Об этом в интервью The Daily Telegraph заявила премьер-министр Эстонии Кая Каллас. «Все сложнее становится и вводить [новые] санкции. Осталось не так много областей, на которые мы можем их наложить. Это создает проблему», — сказала она. По ее словам, это происходит из-за «усталости от войны» и «усиливающихся внутриполитических проблем» в странах Европы. На этой неделе Евросоюз ввел восьмой пакет санкций против России из-за ее действий на Украине. Санкции стали ответом на референдумы, которые прошли в ЛНР, ДНР, Херсонской и Запорожской областях. Ранее часть этих территорий была занята российскими войсками. Новые санкции коснулись ряда физических и юридических лиц. При этом среди прочего Евросоюз вводит в свою законодательную систему регулирование, направленное на фактическое установление предельных цен на российские нефть и нефтепродукты для третьих стран. Также новые санкции запрещают европейским компаниям предоставлять юридические или инженерные услуги контрагентам из России."
2,"В МИДе заявили о готовности к переговорам с Киевом, но не о референдумах",https://www.rbc.ru/politics/09/10/2022/6341f8bb9a7947c20b566323,"Западу не нужен мир на Украине, считает директор второго департамента стран СНГ МИД России Алексей Полищук. Такое мнение он высказал в интервью ТАСС. Дипломат отметил, что Россия никогда не отказывалась от переговоров с украинской стороной, но Киев прервал их «явно по указке западных кураторов». «Он [Киев] был готов зафиксировать постоянный нейтралитет, безъядерный и внеблоковый статус, демилитаризацию и денацификацию Украины в обмен на гарантии безопасности. Когда проект договора стал приобретать приемлемые очертания, Киев прервал переговорный процесс», — указал Полищук. По его словам, Москва по-прежнему готова к переговорам, но обсуждать итоги референдумов в Донецкой и Луганской народных республиках, Запорожской и Херсонской областях о присоединении к России с Киевом не собирается. «Киевские власти должны отнестись к их волеизъявлению с уважением, иначе переговоров не получится», — подчеркнул представитель внешнеполитического ведомства. Полищук отметил, что те страны, которые хотят быть посредниками, должны убедить Украину прекратить боевые действия и вернуться к переговорам. Недостатка в посреднических услугах нет, и мы от них не отказываемся», — добавил дипломат. Материал дополняется"
3,Путин заявил о готовности помогать беднейшим странам,https://www.rbc.ru/politics/09/10/2022/6341f5579a7947bdc4c3d593,"Россия наращивает экспорт сельхозпродукции и готова оказывать помощь бедным странам, заявил президент Владимир Путин в поздравлении с Днем работника сельского хозяйства и перерабатывающей промышленности, опубликованном на сайте Кремля. «Мы полностью обеспечиваем внутренний рынок по основным, важным, необходимым для людей видам продуктов, успешно решаем вопросы продовольственной безопасности и, более того, наращиваем экспортные возможности, готовы — подчеркну это особо — вносить свой вклад в преодоление глобальных продовольственных проблем, оказывать необходимую помощь беднейшим, развивающимся странам», — отметил Путин. Он назвал агропромышленный комплекс одним из ключевых секторов российской экономики, который «год за годом демонстрирует убедительные, достойные результаты». Так, в этом году ожидается рекордный урожай зерновых — около 150 млн т, в том числе около 100 млн т пшеницы, отметил глава государства. Однако, указал Путин, из-за беспрецедентного санкционного давления перед сельхозпроизводителями стоят новые задачи. В частности, речь идет о повышении уровня технологического суверенитета: «нужно наращивать свои возможности в селекции, генетике, семеноводстве, стимулировать переход на современное отечественное оборудование и технику, создавать условия для дальнейшего притока инвестиций». Материал дополняется"
4,Глава Минобороны Румынии выступил за переговоры с Россией по Украине,https://www.rbc.ru/rbcfreenews/6341efc29a7947bd21ef6d48,"Мир на Украине может быть достигнуть только путем переговоров с Россией. Об этом в эфире телеканала PrimaTV заявил министр национальной обороны Румынии Василе Дынку. «Единственным шансом могут быть переговоры с Россией. <...> Переговоры о гарантиях безопасности и о мире для Украины должны вести с Россией страны мира, НАТО, США», — считает Дынку. По его словам, Киев не сможет в одиночку вести переговоры с Москвой, потому что «политический класс Украины в настоящий момент не может позволить себе взять ответственность <...> за потерю территорий». При этом глава Минобороны Румынии считает, что у Москвы по-прежнему есть ресурсы для продолжения специальной военной операции. Поэтому необходимо как можно скорее начать переговоры, «даже если это будет замороженный конфликт». «Переговоры все равно лучше, чем то, что происходит сейчас: уничтожение человеческих жизней и материальных ценностей», — добавил он. Президент Украины Владимир Зеленский не раз исключал возможность территориальных уступок, в том числе для дипломатического урегулирования конфликта с Россией. «Украинцы не готовы отдать свою землю, согласиться, что эти территории принадлежат России. Это наша земля. Мы все об этом говорим и намерены это доказать», — говорил он в интервью CNN в июле. В конце сентября на территориях, занятых российскими войсками, прошли референдумы о вхождении в состав России. Большинство жителей, по данным местных ЦИК, выступили за присоединение. В начале октября ДНР, ЛНР, Херсонская и Запорожская области официально вошли в состав России. Зеленский ранее говорил, что референдумы на востоке Украины будут озночать выход Киева из переговорного процесса. После проведения референдумов Зеленский подписал закон, согласно которому Украина отказывается от переговоров с Москвой, пока президентом России остается Владимир Путин. Разбираемся в рассылке"
5,Вучич назвал «большой ошибкой» передачу вопроса Косова в ЕС,https://www.rbc.ru/rbcfreenews/6341d2529a7947b9df26136e,"Передача решения вопроса Косова и Метохии на уровень ЕС была самой большой ошибкой Сербии. Об этом говорится в обращении президента Сербии Александара Вучича к нации. «Они те, кто диктует темы [в переговорах в вопросе Косова и Метохии], они (албанцы и представители ЕС — прим. ТАСС) все делают вместе. Нашей самой большой ошибкой было передать решение вопроса Косова на уровень Европейского союза. Несмотря на подписанное Брюссельское соглашение, мы так и не смогли всерьез внести в повестку создание Сообщества сербских муниципалитетов», — сказал Вучич. По его словам, предложение Сербии о муниципалитетах постоянно «переносят на следующий раз, а в следующий раз появляется некий кризис, который или сами албанцы, или с поддержки стран Запада или Квинты (США, Великобритания, Франция, Германия, Италия), или по договору вместе бы создавали, и нам говорят, что это очень тяжело для албанцев и не соответствует их конституции». Отношения Сербии и Косово обострились в конце июля из-за намерения Приштины объявить недействительными сербские документы и автомобильные номера. Предполагалось, что въезжающие в Косово сербы будут получать временные документы. Мера должна была начать действовать с 1 августа и стать ответом на действия Белграда, который не признает косовские документы. На этом фоне начала обостряться ситуация на границе — власти Косова стянули к погранпереходам спецназ, а сербы начали строить баррикады. Вучич обвинил Косово в подготовке операции против сербов, проживающих на севере республики. В итоге Приштина отложила введение меры по непризнанию сербских документов до 1 сентября, а 27 августа глава европейской дипломатии Жозеп Боррель сообщил, что соглашение между Сербией и Косово достигнуто. «В рамках диалога при участии ЕС Сербия согласилась отменить документы на въезд/выезд для держателей косовских ID-карт, а Косово согласилось не вводить их для держателей сербских ID-карт», — уточнял он."
6,"Кадыров заявил, что с назначением Суровикина СВО «в надежных руках»",https://www.rbc.ru/politics/08/10/2022/6341d20a9a7947b9c73ad3df,"Глава Чечни Рамзан Кадыров, комментируя назначение командующим объединенной группировкой войск в зоне военной операции на Украине генерала армии Сергея Суровикина, выразил уверенность, что тот сможет исправить ситуацию. «С удовольствием приветствую и рад этому назначению. Объединенная группировка войск теперь в надежных руках. Уверен, Сергей Суровикин в лучшую сторону исправит ситуацию в зоне СВО. Ну, а мы, конечно, будем помогать ему в решении поставленных задач», — написал Кадыров в Telegram. Он отметил, что лично знает Суровикина «уже почти 15 лет», охарактеризовав его как «настоящего генерала и воина, опытного, волевого и дальновидного командующего», для которого патриотизм, честь и достоинство «всегда стоят превыше всего». Глава Чечни пожелал генералу «удачи и успехов в службе на благо Отечества — России». Суровикин стал командующим объединенной группировкой войск 8 октября по решению министра обороны Сергея Шойгу. До сих пор о наличии такой должности не сообщалось. Суровикин — уроженец Новосибирска, на службе в вооруженных силах — с 1983 года. В 1995 году окончил Омское высшее общевойсковое командное училище им. Фрунзе. В 1998 году стал командиром 149-го гвардейского мотострелкового полка 201-й мотострелковой дивизии, в 1999 году — заместитель командира дивизии. Позднее был командиром 34-й мотострелковой дивизии и 42-й гвардейской мотострелковой дивизии. В 2010 году был первым заместителем командующего Приволожско-Уральского военного округа, аналогичные посты занимал в командовании Центрального и Восточного военного округов. С октября 2013 года по октябрь 2017 года — командующий войсками Восточного военного округа. С 31 октября 2017 года — главнокомандующий Воздушно-космическими силами России. С июня 2022 года Минобороны России упоминало генерала в качестве командующего Южной группировкой войск, действующей в районе спецоперации на Украине. Суровикин был участником вооруженного конфликта в Таджикистане, Второй чеченской войны, операции России в Сирии. За проявленное мужество и героизм во время службы в Сирии Суровикину присвоили звание Героя России. Он также награжден орденами Святого Георгия IV степени, Мужества, «За военные заслуги». Во время августовского путча 1991 года 25-летний Суровикин, который тогда возглавлял 20-й батальон Таманской дивизии управлял БМП, которым были задавлены трое человек. После поражения ГКЧП он полгода провел в «Матросской тишине», но был оправдан на основании того, что выполнял приказ. После отвода войск из Лимана (Красный Лиман; находится в Краматорском районе Донецкой области) Кадыров раскритиковал Генштаб, связав это решение с «армейским непотизмом». Ответственность он возложил на командующего Центральным военным округом генерала-полковника Александра Лапина, который руководил обороной Лимана. По мнению главы Чечни, Лапин не обеспечил бойцов необходимой связью, взаимодействием и подвозом боеприпасов. О возможных рисках он предупреждал главу Генштаба Валерия Герасимова, но тот заверил, что «не сомневается в полководческом таланте Лапина и не считает, что в Красном Лимане и его окрестностях возможно отступление», говорил Кадыров. «Обидно не то, что Лапин бездарь. А то, что его покрывают наверху руководители в Генштабе», — отмечал он. Пресс-секретарь российского президента Дмитрий Песков, комментируя реакцию Кадырова, призвал «даже в тяжелые моменты» исключать эмоции «из каких-либо оценок»."
7,Из порта Крыма отправился первый катер с пассажирами,https://www.rbc.ru/politics/08/10/2022/6341c6869a7947b89ca231e0,"Из порта Крым в Керчи через Керченский пролив в порт Кавказ отправился первый пассажирский катер, сообщает «Интерфакс» со ссылкой на представителя порта. На борту более 100 человек. Как заявили в порту, катер будет курсировать на регулярной основе. Как передает ТАСС, на стоянке рядом с переправой в Керчи действует штаб, где записывают всех желающих отправиться через пролив, сейчас в списке более 250 человек. Помимо этого через Керченский пролив запустили паромную переправу. Как сообщал врио министра транспорта Крыма Николай Лукашенко, 8 октября власти рассчитывают отправить до 250 человек в порт Кавказ на катерах и паромом. Власти приняли такие меры после повреждения Крымского моста в результате пожара, который произошел утром в субботу. Причиной возгорания назвали подрыв грузовика, из-за чего загорелись семь топливных цистерн в хвосте следовавшего в сторону полуострова состава. По данным Следственного комитета, погибли три человека, ведомство завело уголовное дело. Автомобильное и железнодорожное движение по мосту закрыли в обе стороны, но к вечеру оно начало восстанавливаться."
8,Южная Корея и Япония сообщили об очередном ракетном запуске КНДР,https://www.rbc.ru/politics/08/10/2022/6341bee69a7947b756dded89,"Северная Корея запустила две баллистические ракеты в сторону Японского моря, они упали за пределами исключительной экономической зоны Японии, сообщает телеканал NHK. По словам министра обороны Японии Тосиро Ино, запуск был осуществлен около 02:00 ночи 9 октября по местному времени (20:00 мск 8 октября), ракеты пролетели 350 км, максимальная высота полета составила около 100 км. О пуске двух снарядов со стороны КНДР также сообщает агентство Yonhap со ссылкой на южнокорейских военных. По их данным, пуски были произведены в районе города Мунчхон на побережье Японского моря. Это уже седьмой ракетный пуск КНДР за менее чем две недели, предыдущий был осуществлен 6 октября. В ответ на действия Пхеньяна Южная Корея и США начали совместные двухдневные учения в Японском море. От американской стороны в них участвовали авианосец Chancellorsville и эсминец Barry. Сеул задействовал в маневрах эсминец Munmu the Great и фрегат Donghae. КНДР обвинила США и их союзников в создании угроз в районе Корейского полуострова. В Пхеньяне заявили, что «внимательно наблюдают» за учениями Вашингтона и Сеула и считают свои ракетные запуски «справедливым ответом» на военные маневры. Действия Северной Кореи осудил помощник Генсека ООН по Ближнему Востоку, Азии и Тихоокеанскому региону Халед Хиари. Он заявил, что 4 октября КНДР впервые с 2017 года осуществила запуск баллистической ракеты над территорией Японии, что может привести к росту нестабильности в регионе. В заявлении Индо-Тихоокеанского командования Вооруженных сил США USPACOM) говорится, что ракетные пуски не представляют непосредственной угрозы Вашингтону и союзникам, но свидетельствуют о «дестабилизирующем воздействии противоправных программ КНДР по разработке оружия массового уничтожения и баллистических ракет». Разбираемся в рассылке"
9,"Хуснуллин рассказал, как по мосту поедут машины и когда пустят грузовики",https://www.rbc.ru/politics/08/10/2022/6341b6fd9a7947b56da57bc5,"Легковые машины по Крымскому мосту будут пропускать колоннами — по 100 автомобилей с каждой стороны, сообщил журналистам вице-премьер Марат Хуснуллин. Для этого будет увеличено число проверяющих, планируется, что на проверку каждой машины уйдет не более двух минут. «Сейчас пока мы пропускаем в реверсивном режиме по 50 машин», — отметил он. При реверсивном режиме автомобили могут попеременно ехать в одну или другую сторону. Пока вице-премьер попросил жителей уменьшить количество поездок по мосту, чтобы дать возможность полноценно заниматься ремонтом. Движение автобусов будет разрешено по Крымскому мосту после определения его состояния. Что касается грузовиков, в ближайшие сутки они будут переправляться паромами. «Если на сегодня будет позволять пропускная способность моста, то через сутки начнем пускать грузовые машины», — рассказал Хуснуллин. Железнодорожное сообщение, по словам вице-премьера, полностью восстановлено. Утром 8 октября на Крымском мосту подорвался грузовик, из-за чего загорелись семь топливных цистерн в хвосте следовавшего на полуостров состава. По данным СК, погибли три человека, машина принадлежала жителю Краснодарского края. Владелец грузовика заявил, что не причастен к произошедшему. Два автомобильных пролета моста частично обрушились, из-за ЧП движение по мосту приостановили в обе стороны. В 16:00 мск по менее поврежденным участкам дороги запустили легковые автомобили, движение по двум полосам планируют открыть 9 октября. В 20:00 мск по мосту прошел первый поезд. Разбираемся в рассылке"
