,title,href,text
0,В каких странах российское кино заработало больше всего. Инфографика,https://www.rbc.ru/technology_and_media/09/10/2022/63405dc59a79476b5bdc3e5c,
1,Суд арестовал девять человек по делу о вымогательстве по телеграм-каналам,https://www.rbc.ru/rbcfreenews/6340e8789a794786b96ae71c,"Тверской районный суд Москвы арестовал группу администраторов телеграм-каналов во главе с владельцем сети Кареном Григоряном по обвинению в вымогательстве (п. «б» ч. 3 ст. 163 УК), сообщил глава комитета Госдумы по информационной политике, информационным технологиям и связи Александр Хинштейн. Григорян, по словам Хинштейна, владеет сетью телеграм-каналов, в которую входят «Компромат» и «Политбюро», а также СМИ «Астрахань today» и «Блокнот Астрахань». По информации «Коммерсанта», главным из них является канал «Политуправа». По состоянию на 8 октября на него были подписаны 294,5 тыс. человек. Григорян работал вместе со своими родственниками, которые администрировали каналы и проводили денежные переводы, создавали и публиковали контент, в том числе для вымогательства, написал депутат. Подозреваемым грозит до 15 лет лишения свободы. В базе суда есть информация о деле в отношении Григоряна, однако публикация полных сведений о нем запрещена. «Коммерсантъ» пишет, что Григоряна подозревают в вымогательстве более 3,8 млн руб. Он требовал перечислять деньги за снятие с публикации уже размещенных в телеграм-каналах постов и за установление блока на их размещение. Сначала за это хотели 350 тыс. руб., но позже стоимость выросла до нескольких миллионов, утверждает газета. Григорян занимает пост председателя межрегиональной общественной правозащитной организации «Комитет по правам человека и законности» и руководит отделением партии «Родина» по Астраханской области, уточняет издание. Также он является консультантом главы администрации Астрахани Олега Полумордвинова. Дело в отношении Григоряна завели 23 сентября, пишет газета. 5 октября подозреваемого задержали в Астрахани и привезли в Москву. Он должен пробыть под арестом до 23 ноября. О том, что против «консорциума телеграм-шантажистов» идет масштабная операция силовиков, Хинштейн заявил 5 октября. Он связал с ней последние задержания администраторов телеграм-каналов «Проект «Сканер», «Сканер 18+», «Народ против», «Погоны и галстуки» — Евгения Москвина, Алексея Слободенюка и Владислава Малушенко. По его словам, все эти ресурсы входили в сетку «Кракен». Кроме того, в августе были задержаны и впоследствии арестованы еще трое администраторов телеграм-каналов — Ольга Архарова, Александра Баязитова и Инна Чурилова (каналы «Финансовый караульный», «Небрехня», «Адские бабки», «Медиатехнолог», «Мясорубка», «Е-магия»). Их обвинили в вымогательстве 1,2 млн руб. у топ-менеджера Промсвязьбанка Александра Ушакова. По версии следствия, обвиняемые требовали у него деньги за «блок» на публикацию негативных материалов о банкире. Баязитова, в отличие от двух других фигуранток, не признала вину. Всю операцию, по словам Хинштейна, проводят сотрудники управления «К» МВД, совместно со Следственным комитетом, ФСБ, Генпрокуратурой и при силовой поддержке Росгвардии. Непосредственное участие в мероприятиях также принимали сотрудники аппарата главы «Ростеха» Сергея Чемезова, а заявителем по делу выступил директор по особым поручениям «Ростеха» Василий Бровко, писал депутат. Он утверждал, что все материалы «из-за беспрецедентного характера происходящего согласовывались на уровне первых лиц силовых структур»."
2,Meta сообщила об утечке данных 1 млн пользователей Facebook,https://www.rbc.ru/rbcfreenews/6340d8029a79478443c7ce52,"Злоумышленники похитили данные 1 млн пользователей Facebook (соцсеть и ее материнская компания Meta признаны в России экстремистскими и запрещены), распространяя вредоносные приложения, сообщил Axios директор Meta по борьбе с киберугрозами Дэвид Агранович. По его словам, всего злоумышленники распространили в магазинах приложений Google и Apple более 400 мобильных приложений. Отчет об этом уже появился на сайте Facebook. Эти программы выполняли функции фоторедакторов и других сервисов и подталкивали людей вводить данные от учетных записей Facebook. После загрузки программы пользователю предлагали настроить учетную запись. Для этого требовалось войти в аккаунт. Введенные данные программы пересылали злоумышленникам. Кроме фоторедакторов (около 40%) среди вредоносных программ встречались игры, приложения для сторонников определенного образа жизни, утилиты для бизнеса и другие. В магазине приложений для iOS их было 47, а в Google Play для платформы Android — 355. Обе компании сообщили Axios, что все вредоносные приложения уже удалили. Агранович пообещал, что компания уведомит пользователей соцсети об утечках данных, чтобы те могли защитить свои учетные записи. Однако он подчеркнул, что Meta не сможет установить точное число пострадавших, так как все действия производились на их личных устройствах. Одна из последних крупных утечек пользовательских данных на Facebook произошла в апреле 2021 года. Тогда в Сеть утекли данные примерно 500 млн человек. Их выложили в открытый доступ на одном из хакерских форумов. В базах значились полные имена пользователей, номера телефонов, даты рождения, биографические сведения, уникальные идентификаторы социальной сети и адреса электронной почты. Пострадали пользователи из 106 стран, в том числе и из России, где соцсеть сейчас заблокирована."
3,Аналитики заявили о рекордном приросте контента в «Телеграме» на фоне СВО,https://www.rbc.ru/technology_and_media/07/10/2022/63402de89a79475ab651800a,"Мессенджер «Телеграм» с начала спецоперации на Украине к началу октября показал рекордный прирост по числу активных авторов и публикуемого контента среди других социальных сетей, следует из наблюдений cистемы мониторинга и анализа социальных медиа и СМИ Brand Analytics. «С начала спецоперации к 1 октября 2022 года число ежедневно активных авторов в «Телеграме» выросло более чем в полтора раза, а именно — на 58%. Это рекордный рост среди всех социальных платформ. Прирост ежедневно публикуемого контента в «Телеграме» также рекордный — плюс 24%», — говорится в сообщении. В цифрах прирост составил 1,1 млн авторов и 8,7 млн единиц контента. Аналитики отметили, что «Телеграм» аккумулирует в основном новостную повестку, тематический контент менее востребован. Другие российские соцсети — «ВКонтакте» и «Одноклассники» — также в росте, указывает Brand Analytics. По абсолютным показателям по приросту авторов и контента «ВКонтакте» обогнал «Телеграм», так как прирост авторов составил 3,8 млн (плюс 15%), ежедневно публикуемого контента — 13,2 млн сообщений (плюс 9%). Рост «Одноклассников» в процентах почти аналогичен росту «ВКонтакте»: 750 тыс. авторов (плюс 13%) и 2,9 млн единиц контента (плюс 7%). Brand Analytics также исследовала тренды в работе зарубежных социальных сетей в России. YouTube из-за запрета монетизации потерял 513 тыс. авторов (10%), снизился и объем контента (893 тыс., или 13%). Однако платформа продолжает оставаться главным источником видеоконтента у россиян. Заблокированные в России «Инстаграм», «Фейсбук» (их владелец, компания Meta, признана в России экстремистской организацией и запрещена) и «Твиттер» тоже в минусе. Больше всего авторов и контента потерял «Инстаграм» (424 тыс. авторов, или минус 76%, и 974 тыс. единиц контента, или минус 74%). Потери у «Фейсбука» и «Твиттера» в процентах — примерно на треть. Из «Фейсбука» ушли 423 тыс. авторов (минус 37%), из «Твиттера» — 173 тыс. (минус 31%). Потери сообщений составили 919 тыс. (минус 30%) и 1,4 млн (минус 31%) соответственно. Сильнее всего активность снизилась в TikTok, который приостановил работу в России из-за введения властями наказания за дискредитацию армии и фейки. Число авторов снизилось на 85% (45 тыс.), контента — на 87% (55 тыс.). Тиктокеры ушли на другие платформы, например «VK Клипы», указывают аналитики."
4,Франция оказалась главным зарубежным рынком для российского кино,https://www.rbc.ru/technology_and_media/07/10/2022/633d5dfa9a7947044e89fc6c,"Франция оказалась основным иностранным рынком для российского кино по итогам первых шести месяцев 2022 года. Это следует из подсчетов отраслевого издания «Бюллетень кинопрокатчика», которое оценило сборы отечественных фильмов в прокате за пределами России и стран СНГ в первом полугодии этого года (результаты расчетов есть у РБК). В январе—июне общие сборы российских фильмов во Франции составили $659,5 тыс. По сравнению с началом года первая четверка стран, принесших российскому кино самый большой объем выручки, не изменилась. Но общие сборы отечественного кино за рубежом в первой половине года упали. Сколько заработал российский кинематограф на международных рынках после начала военной спецоперации на Украине и какие фильмы больше всего заинтересовали иностранных зрителей — в обзоре РБК. Как смотрели российское кино за рубежом За первое полугодие 2022 года в зарубежный прокат вышла 41 российская картина. Для сравнения: за аналогичный период 2021 года иностранные зрители увидели почти столько же фильмов российского производства — 46. Самым кассовым российским проектом за пределами домашнего рынка в 2022 году стал хоррор «Ряд 19» (он собрал $1,5 млн). Но, несмотря на незначительную разницу по количеству контента, сборы российского кино за рубежом снижаются. За январь—июнь 2022 года отечественные фильмы собрали в зарубежном прокате $4,3 млн — отставание по сравнению с первым полугодием прошлого года составило 63,9%. Доля международной кассы от выручки отечественного контента на родине снизилась почти в два раза: если за первые шесть месяцев 2021 года она составляла 10%, то по итогам аналогичного периода 2022-го — всего 5,1%. Заметное падение сборов отечественного кино за пределами России и стран СНГ произошло во втором квартале года, когда на Украине уже шла российская военная спецоперация. Если в январе—марте 2022 года российские фильмы заработали в зарубежном прокате $3,6 млн, то по итогам апреля—июня сборы упали на 81%, до $0,7 млн. Помимо Франции в пятерку главных зарубежных рынков для российского кино по итогам полугодия вошли Мексика (сборы составили $544 тыс.), а также со значительным отставанием — Перу ($297 тыс.). На четвертом месте по сборам была Германия, а замыкала пятерку Колумбия, потеснившая занимавший это место в начале года Китай. Вхождение Колумбии в пятерку лидеров «Бюллетень кинопрокатчика» связывает с выходом в этой стране хоррора «Тварь» Ольги Городецкой, заработавшего здесь $76 тыс. — больше половины всех сборов по этой стране. Занявший шестое место Китай на прокате российского кино заработал $178 тыс. В рейтинге стран «Бюллетеня кинопрокатчика» по показателю международных сборов локального контента Россия со сборами $4,3 млн по итогам полугодия заняла восьмое место (в подсчетах учитывались только те фильмы, в которых страна является единственным или главным создателем, при этом картины из США в рейтинге не учитывались). Российский контент уступил китайскому (разрыв в сумме сборов составил $229 тыс.), но по-прежнему опережал австралийские релизы, хотя разрыв и сократился до $1,1 млн (в конце марта он составлял $1,4 млн). На первом месте по международным сборам находятся кино из Японии ($127,5 млн), далее следуют Великобритания (124,4 млн) и с почти трехкратным отставанием Франция ($43 млн). Какие российские фильмы смотрели за границей 1. «Ряд 19», режиссер Александр Бабаев. В центре сюжета — пережившая в детстве авиакатастрофу психолог Екатерина. Вместе со своей дочерью она вновь оказывается в самолете на ночном рейсе. Внезапно на борту начинают происходить странные события, а пассажиры один за другим гибнут при странных обстоятельствах. Прокат на 20 зарубежных территориях. Сборы в 2022 году: $1,5 млн. 2. «Уроки фарси», режиссер Вадим Перельман. Действие этой военно-драматической картины происходит во время Второй мировой войны. Главный герой — бельгийский еврей — попадает в нацистский концлагерь. В попытках выжить он выдает себя за перса и принимается обучать немецкого офицера выдуманному языку, который он выдает за фарси. Прокат на 12 зарубежных территориях. Сборы в 2022 году: $478 тыс. 3. «Бука. Мое любимое чудовище», режиссеры Виктор Глухушин и Максим Волков. По сюжету мультфильма принцесса Варвара сбегает из дворца и отправляется на поиски принца. По дороге через лес она попадает в плен разбойника Буки. Но в силу своего характера Варвара начинает устанавливать в лесу свои порядки. Прокат на 14 зарубежных территориях. Сборы в 2022 году: $423 тыс. 4. «Пиноккио. Правдивая история», режиссер Василий Ровенский. В основу сюжета легла книга Карло Коллоди «Приключения Пиноккио». Деревянная кукла Пиноккио, умеющая говорить и двигаться, решает присоединиться к труппе странствующего цирка. Там Пиноккио влюбляется в приемную дочь владельца цирка и отправляется на поиски колдуньи, которая могла бы превратить его в человека. Прокат на трех зарубежных территориях. Сборы в 2022 году: $202 тыс. 5. Серия «Большой балет». Проект-конкурс, в основе которого — соревнование лучших танцоров балета. Всего восемь релизов с учетом доработок. Сборы: $186 тыс. Что говорят участники рынка об интересе к российскому кино Выход Франции в лидеры по зарубежным сборам российского контента носит прецедентный, а не системный характер, убежден кинопродюсер Георгий Малков (известен по криминальной драме «Пирамммида» и сиквелу «Служебного романа»). «Это в принципе нулевой для нас рынок, поэтому хватило одного успешного кейса», — утверждает Малков. По данным «Бюллетеня кинопрокатчика», больше 71% сборов во Франции действительно были обеспечены одним фильмом — «Уроки фарси». По подсчетам американской компании Comscore, которые приводит «Бюллетень», фильм, который стартовал во французском прокате 19 января 2022 года, заработал в этой стране почти $470 тыс. Россия не входит в список крупнейших киноэкспортеров, а положительная динамика последних лет была связана с целенаправленными усилиями по продвижению отечественного контента, в первую очередь со стороны «Роскино», убежден главный редактор информационного агентства InterMedia Евгений Сафронов. В Европе российское кино после начала военной спецоперации на Украине, по словам эксперта, «поставили на паузу». «Но традиции сломать нелегко: европейцы от нашего кино быстро не отвыкнут», — считает Сафронов. Переход на новые рынки потребует определенного времени и адаптации, признают в Минкультуры. Основные усилия по продвижению российского контента на международные рынки сейчас сконцентрированы на странах Азии, Латинской Америки, Ближнего Востока, Северной Африки, а также странах СНГ, рассказал РБК представитель министерства. Для стран Латинской Америки «традиционно популярным жанром контента» в министерстве называют хорроры и триллеры, но добавляют, что у аудитории в этом регионе есть интерес и к документальному кино из России. В Азии больший спрос отмечается на семейный контент и анимацию. В первом полугодии российские фильмы активно закупали онлайн-кинотеатры и телеканалы из стран Азии, Ближнего Востока и Северной Африки, говорят в Минкультуры. «Отмечается и рост интереса к покупке форматных прав на российские проекты, поскольку адаптация и приобретение форматов становятся все более актуальным направлением во всем мире», — добавил собеседник в министерстве, не уточнив при этом, о каких именно проектах идет речь. Под форматными правами понимается продажа разработанного и описанного контента, уже апробированного в эфире и имеющего положительную репутацию (пример — программа, где звездное жюри оценивает вокальные или танцевальные способности участников). В азиатском регионе самым перспективным рынком для России является Китай, считает кинопродюсер Малков. Но он же до сих пор остается «прецедентным»: «Там нет «системного взаимодействия» и устоявшейся практики, кто-то продает [свои проекты] за сотни тысяч [долларов], кто-то — за несколько тысяч», — объясняет Малков. Есть нюансы и в работе на других рынках Азии и Ближнего Востока. Например, по словам продюсера, этим странам неинтересны российские комедии, составляющие значительную долю производимого в России контента. В числе наиболее важных рынков сбыта для отечественного кино в последние годы — Китай, согласен Сафронов: сокращения экспорта по этому направлению, по его мнению, ожидать не приходится. С «подчеркнутым энтузиазмом», по его словам, к российскому контенту относится Индия — «несмотря на разницу культурных кодов». Остается ли российские кино на международных фестивалях В мае 2022 года на Каннском фестивале были представлены сразу две российские картины: «Жена Чайковского» Кирилла Серебренникова и документальный фильм «Как спасти мертвого друга» Маруси Сыроечковской. Однако критикам, пишущим для российских изданий, в аккредитации на мероприятие отказывали. Не смогла его посетить и традиционная российская делегация. Запрет на участие российская делегация получила и от организаторов Венецианского кинофестиваля — попасть на него смогли только независимые кинематографисты из России. Бренд Russian Content Worldwide, организованный национальным оператором по продвижению фильмов, сериалов и анимации за границей «Роскино», в период с мая по сентябрь принимал участие в рынке телеконтента Discop Dubai, международной выставке кино и телевидения Telefilm Vietnam и рынке контента BroadCast WorldWide в Южной Корее. 26 сентября президиум российской Киноакадемии заявил, что Россия в этом году не будет выдвигать свой фильм на премию «Оскар». После этого Российский оскаровский комитет покинули его председатель Павел Чухрай, продюсер Сергей Сельянов, а также режиссеры Андрей Звягинцев, Николай Досталь, Вера Сторожева и Владимир Котт."
5,Корабль Crew Dragon с россиянкой на борту пристыковался к МКС,https://www.rbc.ru/rbcfreenews/633f49e89a794710a57b605c,"Корабль Dragon Endurance, стартовавший вечером 5 октября с россиянкой Анной Кикиной в составе экипажа, пристыковался к Международной космической станции в 00:01 мск, сообщает NASA. «После стыковки Dragon к модулю Harmony экипаж на борту Dragon Endurance и космической станции начнет проводить стандартные проверки на герметичность и повышение давления между космическими аппаратами в рамках подготовки к открытию люка, запланированного на 18:42 (01:42 8 октября мск)», — говорится в сообщении. Экипаж корабля присоединится к 68-й экспедиции в составе астронавтов NASA Боба Хайнса, Кьелла Линдгрена, Фрэнка Рубио и Джессики Уоткинс, Саманты Кристофоретти из Европейского космического агентства (ЕКА) и космонавтов «Роскосмоса» Сергея Прокопьева и Дмитрия Петелина. Таким образом, до отлета предыдущей экспедиции численность экипажа на МКС увеличится до 11 человек. Полет проходит в рамках программы перекрестных полетов «Роскосмоса» и NASA, стороны достигли соответствующей договоренности в июле. Подобное соглашение действовало до 2011 года, после чего экипажи на МКС начали доставлять исключительно российскими кораблями. Соглашение предполагает по три полета космонавтов на американских кораблях и астронавтов — на российских. Это позволит в случае нештатной ситуации обеспечить присутствие на МКС как минимум одного космонавта «Роскосмоса» или астронавта NASA, которые могли бы обслуживать сегменты России или США."
6,Google представила свои первые «умные» часы и линейку смартфонов Pixel 7,https://www.rbc.ru/technology_and_media/06/10/2022/633ed41f9a794777c80ad0d8,"Корпорация Google провела онлайн-конференцию #MadebyGoogle, на которой представила новые устройства: «умные» часы Pixel Watch, а также новую модель смартфона — Pixel 7. Pixel Watch — первое устройство Google в этом классе. Экран часов сделан из закаленного стекла Corning Gorilla Glass, которое, по утверждению производителей, выдерживает падение с высоты до 1,6 м на твердые поверхности. «Умные» часы получили водозащиту уровня 5ATM, то есть они могут выдержать давление на глубине до 50 м в неподвижной воде и случайное погружение в воду, хотя глубоко нырять с ними нежелательно. В устройство добавлена система мониторинга сна, датчик сердцебиения и система регистрации ЭКГ. Модель часов будет доступна в нескольких цветах: черном, серебряном и золотом. Рекомендуемая цена — от $349 (20,9 тыс. руб. по текущему курсу). Продажи устройства стартуют 13 октября. Новинка будет доступна с бесплатной шестимесячной подпиской Fitbit Premium (дает доступ к программам тренировок, подробным сведениям о состоянии здоровья, правилах отслеживания сна и т.д.). Представленные новые модели смартфонов Google — Pixel 7 и Pixel 7 Pro — получили процессор Google Tensor G2, который, как заявили в Google, должен обеспечивать работу на 60% быстрее, чем у предыдущих моделей, 128 Гб и 256 Гб встроенной памяти соответственно, а также защиту от пыли и влаги по стандарту IP68 (обеспечивает герметичность корпуса устройства от попадания мелких частиц, его можно использовать на глубине до 1,5 м до 30 минут). Обе модели получили встроенный бесплатный VPN от Google. У Pixel 7 размер экрана составляет 6,3 дюйма, у Pixel 7 Pro — 6,7 дюйма. В Pixel 7 Pro встроено 12 Гб оперативной памяти и набор камер: основной сенсор камеры — 50 Мп, модуль для зума — 48 Мп и фронтальная камера — 10,8 Мп. У «младшей» модели будет 8 Гб оперативной памяти, в наборе камер будет отсутствовать 48-мегапиксельный сенсор. Камеры устройств теперь могут улучшать качество уже сделанных фотографий со смазанным изображением. В обе модели Google внедрила возможность разблокировать устройство с помощью лица. Обе модели будут работать на операционной системе Android 13 (последняя выпущенная версия). Объем аккумулятора у Pixel 7 — 4,3 тыс. мА·ч, у Pixel 7 Pro — 5 тыс. мА·ч. Pixel 7 будет доступен в светло-зеленом, белом и черном цветах, а Pixel 7 Pro — в сером, белом или черном. Старт продаж в Европе намечен на 13 октября. Рекомендуемая цена для Pixel — от $599 (от 35,9 тыс. руб. по текущему курсу), для Pixel 7 Pro — от $899 (от 53,9 тыс. руб.). Будет ли спрос на новинки в России Свои первые смартфоны, Pixel и Pixel XL, Google представила в 2016 году. Тогда эксперты отмечали, что запуск такого направления бизнеса, как продажа смартфонов, — это «большое и рискованное финансовое обязательство», но американской компании был необходим собственный смартфон, чтобы обеспечить распространение своих веб-сервисов и других предложений, например системы виртуальной дополненной реальности. Спустя год после официального запуска аналитическая компания Comscore утверждала, что в среднем меньше 1% пользователей из США использовали Google Pixel. В начале октября этого года журналист Bloomberg со ссылкой на данные IDC написал у себя в «Твиттере», что с момента запуска Google Pixel и по 2022 год компания продала около 27,6 млн устройств, что составляет одну десятую от всех продаж смартфонов Samsung за 2021 год. «Другими словами, Google понадобится около 60 лет, чтобы продать столько же смартфонов, сколько Samsung», — указывал он. Несмотря на то что в России был офис Google, компания не поставляла официально смартфоны на отечественный рынок. До сих пор их можно было приобрести на маркетплейсах, например у ряда продавцов на Ozon, «AliExpress Россия» и «Яндекс.Маркете», убедился корреспондент РБК. «Смартфоны Google привозили в Россию не централизованно и в небольших объемах. Компания так и не собралась «заметно» выйти на рынок», — сообщил руководитель направления «Телеком» компании diHouse (входит в группу «Ланит») Андрей Малютин. Весной Минпромторг после того, как ряд крупных производителей отказались поставлять свою продукцию в Россию на фоне специальной военной операции на Украине, опубликовал перечень продукции, разрешенной к ввозу по схеме параллельного импорта (то есть без согласия правообладателя). В этот перечень попали устройства Apple, Samsung, Sony и другие, но устройства Google в него не включены. По мнению Малютина, спрос на смартфоны от Google если и будет расти, то только за счет низкой базы в предыдущий период. К тому же у «смартфонов Google не настолько широка линейка продуктов, чтобы составить ощутимую конкуренцию действующим лидерам рынка», отметил он. Тем не менее у Pixel 7 и Pixel 7 Pro есть шансы найти и занять свою нишу, считает Малютин. «Выход новых моделей смартфонов — важный драйвер для телеком-рынка, поэтому компании, которые научились работать с параллельным импортом, будут заинтересованы в том, чтобы привезти новинки сразу после презентации. Тем более что последние модели Google обычно привлекают внимание и популярны у покупателей, которые следят за рынком смартфонов и увлекаются высокими технологиями. Google Phone всегда были модным и даже «культовым» продуктом в гик-сообществе», — прокомментировал он. Руководитель группы закупок сотовых телефонов, планшетов и гаджетов «Ситилинка» Павел Работенко согласен, что устройства будут интересны преимущественно «техногикам и фанатам технологий Google». «Среди российских пользователей такая аудитория, конечно, тоже есть, но популярность техники Google в России оценить сложно, так как ранее официально она не была представлена на нашем рынке», — добавил Работенко. Представитель «Т2 РТК Холдинга» (бренд Tele2) считает, что механизм «параллельного импорта не повлияет на сложившиеся логистические цепочки, так как смартфоны Google всегда поставлялись в Россию по альтернативным каналам. «Tele2 работает с вендорами, официально поставляющими продукцию в Россию, с этой точки зрения устройства Google не наш товар», — объяснил он. В «ВымпелКоме» (бренд «Билайн») сообщили, что пока не планируют завозить продукцию Google и считают, что спрос на нее будет минимальным. Представитель «МегаФона» сказал, что в их сети никогда не было устройств от Google, но не ответил на вопрос, стоит ли ждать их появления. Представители «М.Видео-Эльдорадо» и МТС отказались от комментариев. РБК направил запрос в «Связной». По данным аналитической компании IDC, во втором квартале первое место на рынке смартфонов в мире с долей 21,8% занимала корейская Samsung. На втором месте была Apple (15,6%), затем Xiaomi (13,8%). В целом мировые поставки смартфонов сократились на 8,7% год к году, до 286 млн единиц. По оценке IDC, падение продолжается уже четвертый квартал подряд. Наибольшее снижение произошло в Центральной и Восточной Европе — на 36,5%, «поскольку специальная военная операция на Украине продолжает оказывать негативное влияние на регион». Согласно последнему отчету IDC, рынок носимых устройств, к которым в том числе относятся «умные» часы, по итогам второго квартала, сократился на 6,9% год к году, до 107,4 млн единиц. По мнению аналитиков IDC, это связано с замедлением спроса из-за растущей инфляции, опасений рецессии, увеличением расходов на другие нетехнические категории, а также замедлением гиперроста, который наблюдался на рынке носимых устройств в последние два года."
